,patient_email,User_ID,product_id,product_rating
0,dgreenhow60@google.com.au,149,40,2
1,akasbye8l@google.com.au,21,101,1
2,kclemensa9@flickr.com,300,53,4
3,nphilsond5@narod.ru,397,70,1
4,jbuessen4@vimeo.com,267,72,3
5,bdavage2p@cbsnews.com,49,64,3
6,ctheodore5z@bing.com,124,94,2
7,pgaviniqm@icq.com,417,41,4
8,vraftergm@liveinternet.ru,539,53,3
9,zpriestnall8q@sitemeter.com,557,94,5
10,vgreserqn@ed.gov,535,64,2
11,mrowen96@home.pl,382,21,2
12,grusbridgefx@google.co.uk,234,22,5
13,apittwaybi@japanpost.jp,30,110,1
14,jarmingernm@webnode.com,265,121,3
15,abennike9a@ezinearticles.com,1,43,1
16,icastletinedx@fda.gov,259,50,3
17,hwoolmermy@buzzfeed.com,257,24,3
18,rgiovanazzipp@netvibes.com,442,1,1
19,dcudworthhw@hatena.ne.jp,141,52,1
20,mfreddibn@elegantthemes.com,368,53,2
21,hquartonm4@rakuten.co.jp,254,30,3
22,lcaughtrydr@gnu.org,328,22,1
23,stothehy@oakley.com,493,71,3
24,epotburyer@nba.com,194,72,3
25,lswainger5d@linkedin.com,351,33,3
26,bleece62@reference.com,64,4,3
27,gmethley9c@com.com,228,103,1
28,tvicarh4@devhub.com,529,44,2
29,tfielleru@jiathis.com,510,94,3
30,rjendrichmu@bloomberg.com,445,41,4
31,aevemyq@addtoany.com,10,101,3
32,sklein1i@livejournal.com,479,51,3
33,tgrinovqa@last.fm,512,32,4
34,ecostellokj@craigslist.org,181,20,2
35,mcristour3@home.pl,363,72,3
36,mebbotts5s@aboutads.info,366,100,5
37,yobrien7m@yahoo.com,556,110,2
38,lriggsic@boston.com,349,21,1
39,ppregallp@imgur.com,423,51,4
40,fhayhurstj@tumblr.com,201,54,5
41,btarrns@ameblo.jp,77,14,4
42,jkenworthmw@harvard.edu,281,82,5
43,dpigney5w@nba.com,162,91,2
44,jketleydl@chronoengine.com,283,60,4
45,adamettics@constantcontact.com,6,22,3
46,snickelsb6@behance.net,484,104,3
47,lpillans4j@ftc.gov,348,12,3
48,cgoddertsffr@constantcontact.com,100,4,2
49,ogillinghamik@indiegogo.com,407,3,2
50,mhessmd@about.com,373,10,3
51,vguilloudok@elegantthemes.com,536,3,2
52,pnuttyq8@earthlink.net,422,24,3
53,lkeymerg6@dagondesign.com,340,72,3
54,cvannoort1j@guardian.co.uk,127,121,2
55,awyrillk7@purevolume.com,43,40,1
56,gchaffindq@unicef.org,213,83,2
57,mgreenierew@mtv.com,371,52,1
58,dbilles@fotki.com,131,111,3
59,dwrassellfd@nymag.com,175,22,4
60,cledward9x@state.gov,108,82,5
61,dprivett17@miibeian.gov.cn,164,43,3
62,bpape9l@columbia.edu,67,72,4
63,wokieltbl@apache.org,548,102,5
64,tbarkii@icq.com,499,112,3
65,dfibbens3d@washingtonpost.com,147,61,3
66,cgreensidesec@sphinn.com,101,4,3
67,bdimitruh6@google.co.jp,53,61,3
68,bgimenez2@sbwire.com,57,60,2
69,llovekh@mashable.com,342,40,3
70,emaruskaog@cloudflare.com,190,83,4
71,jearlami5@friendfeed.com,272,103,4
72,oeilers41@imageshack.us,406,104,4
73,rrockliffelz@behance.net,458,34,2
74,hholdworthl6@psu.edu,252,73,3
